BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	4314	D	"BOTH INTERNATIONAL & INLAND In order for a vessel to be ""engaged in fishing"" she must be __________."	underway	using gear which extends more than 50 meters outboard	using a seine of some type	using gear which restricts her maneuverability	
1	4315	A	INTERNATIONAL ONLY While underway and in sight of another vessel you put your engines on astern propulsion.  Which statement concerning whistle signals is TRUE?	You must sound three short blasts on the whistle.	You must sound one blast if backing to starboard.	You must sound whistle signals only if the vessels are meeting.	You need not sound any whistle signals.	
1	4316	B	BOTH INTERNATIONAL & INLAND When shall the stand-on vessel  in a crossing situation take action to avoid the other vessel?	When a risk of collision exists	When action by the give-way vessel alone will not prevent a collision	When the bearing to give-way vessel becomes steady	When the vessels become less than 1/2 mile apart	
1	4317	C	BOTH INTERNATIONAL & INLAND What signal would a vessel aground show during daylight?	One black ball	Two black balls	Three black balls	Four black balls	
1	4318	B	BOTH INTERNATIONAL & INLAND Which is NOT a distress signal?	Flames on a vessel	Vertical motion of a white lantern at night	"Code flags ""November"" and ""Charlie"""	Dye marker on the water	
1	4319	D	BOTH INTERNATIONAL & INLAND Which statement about a 25-meter auxiliary sailboat is TRUE?	The sidelights and stern light may be combined in one lantern.	"When operating under sail, her fog signal would consist of  one prolonged blast."	She may show a green light over a red light at the masthead.	She must show fixed sidelights.	
1	4320	D	BOTH INTERNATIONAL & INLAND Which vessel shall NOT impede the passage of a vessel which can safely navigate only within a narrow channel or fairway?	A vessel of less than 20 meters in length	A vessel sailing	A vessel fishing	All of the above	
1	4321	D	"BOTH INTERNATIONAL & INLAND While underway in a fog, you hear a whistle signal of one prolonged blast followed by two short blasts.  This signal could mean all of the following  EXCEPT a vessel __________."	not under command	towing astern	fishing with trawls	being towed	
1	4322	D	BOTH INTERNATIONAL & INLAND In which situation do you think a risk of collision exists?	"A vessel is 22° on your port bow, range increasing, bearing changing slightly to the right."	"A vessel is broad on your starboard beam, range decreasing, bearing changing rapidly to the right."	"A vessel is 22° abaft your port beam, range increasing, bearing is constant."	"A vessel is on your starboard quarter, range decreasing, bearing is constant."	
1	4323	A	BOTH INTERNATIONAL & INLAND A vessel displaying ONLY the lights shown is a __________.	vessel engaged on pilotage duty underway	vessel engaged in fishing	vessel under sail	power-driven vessel underway	DIAGRAM_53
1	4325	B	"BOTH INTERNATIONAL & INLAND A vessel aground in fog shall sound, in addition to the proper anchor signal, which of the following?"	Three strokes on the gong before and after sounding the anchor signal	Three strokes on the bell before and after the anchor signal	Four short blasts on the whistle	One prolonged and one short blast on the whistle	
1	4327	C	BOTH INTERNATIONAL & INLAND Two vessels are approaching each other near head on.  What action should be taken to avoid collision?	The first vessel to sight the other should give way.	The vessel making the slower speed should give way.	Both vessels should alter course to starboard.	Both vessels should alter course to port.	
1	4328	C	BOTH INTERNATIONAL & INLAND A vessel displaying the day-shape shown __________.	is at anchor	is not under command	has a tow that exceeds 200 meters in length	has a tow that is carrying dangerous cargo	DIAGRAM_10
1	4329	B	BOTH INTERNATIONAL & INLAND Your vessel is 25 meters long and anchored in restricted visibility. You are required to  sound the proper fog signal at intervals of not more than __________.	30 seconds	one minute	two minutes	three minutes	
1	4330	D	"BOTH INTERNATIONAL & INLAND While underway in fog, you hear a short blast, a prolonged blast, and a short blast of a whistle.  This signal indicates a __________."	vessel towing in fog	sailboat underway in fog	vessel being towed in fog	vessel anchored in fog	
1	4331	B	BOTH INTERNATIONAL & INLAND You see the lights shown.  What would it be?	A vessel pushing barges ahead	A vessel towing barges astern	A pipeline	A stationary dredge	DIAGRAM_77
1	4332	C	BOTH INTERNATIONAL & INLAND You are the stand-on vessel in a crossing situation.  You may hold your course and speed until __________.	the other vessel takes necessary action	the other vessel gets to within half a mile of your vessel	action by the give-way vessel alone will not prevent collision	the other vessel gets to within a quarter mile of your vessel	
1	4333	A	BOTH INTERNATIONAL & INLAND The arc of visibility for sidelights is from right ahead to __________.	22.5° abaft the beam	abeam	22.5°Forward of the beam	135° abaft the beam	
1	4334	A	"BOTH INTERNATIONAL & INLAND In narrow channels, vessels of  less than what length shall not impede the safe passage of  vessels which can navigate only inside that channel?"	20 meters	50 meters	65 meters	100 meters	
1	4335	B	BOTH INTERNATIONAL & INLAND At night a vessel displaying the lights shown is __________.	sailing	fishing	a pilot boat	anchored	DIAGRAM_82
1	4336	A	"BOTH INTERNATIONAL & INLAND While underway and in sight of  another vessel crossing less than .5 mile away, you put your engines full speed astern. Which statement concerning whistle signals is TRUE?"	You must sound three short blasts on the whistle.	You must sound one blast if backing to starboard.	You must sound whistle signals only if the vessels are meeting.	You need not sound any whistle signals.	
1	4337	B	BOTH INTERNATIONAL & INLAND A vessel showing a yellow light over a white light at night is a vessel __________.	engaged in piloting	towing astern	engaged in fishing	in distress	
1	4338	D	BOTH INTERNATIONAL & INLAND A vessel hearing a fog signal forward of her beam has not determined if risk of collision exists.  She shall reduce speed to __________.	moderate speed	safe speed	half speed	bare steerageway	
1	4339	D	BOTH INTERNATIONAL & INLAND Two vessels are in an overtaking situation.  Which of the lights on the overtaken vessel will the overtaking vessel see?	Two masthead lights	One masthead light and a sidelight	Both sidelights	Stern light only	
1	4340	A	BOTH INTERNATIONAL & INLAND While underway and making way your vessel enters fog.  Which fog signal should you sound  every two minutes?	One prolonged blast	Two prolonged blasts	Three short blasts	A prolonged blast and three short blasts	
1	4341	B	"BOTH INTERNATIONAL & INLAND On open water, a vessel fishing is in a crossing situation with a vessel sailing located on the fishing vessel's starboard side.  Which vessel is the stand-on vessel?"	The fishing vessel because it is to port of the sailing vessel.	The fishing vessel because it is fishing.	The sailing vessel because it is to starboard of the fishing vessel.	The sailing vessel because it is sailing.	
1	4342	A	BOTH INTERNATIONAL & INLAND The lights prescribed by the Rules shall be exhibited __________.	from sunrise to sunset in restricted visibility	at all times	"from sunset to sunrise, and at no other time"	whenever a look-out is posted	
1	4343	D	BOTH INTERNATIONAL & INLAND Risk of collision may exist __________.	if the compass bearing of an approaching vessel does NOT appreciably change	"even when an appreciable bearing change is evident, particularly when approaching a vessel at close range"	if you observe both sidelights of a vessel ahead for an extended period of time	All of the above	
1	4344	B	"BOTH INTERNATIONAL & INLAND ""safe speed"" is defined as that speed where __________."	you can stop within your visibility range	you can take proper and effective action to avoid collision	you are traveling slower than surrounding vessels	no wake comes from your vessel	
1	4345	D	BOTH INTERNATIONAL & INLAND A vessel showing a green light  over a white light in a vertical line above the level of the sidelights is __________.	engaged in underwater construction	under sail and power	a pilot vessel	trawling	
1	4346	B	BOTH INTERNATIONAL & INLAND  A vessel being towed at night must show __________.	"a white all-round light, only"	sidelights and a stern light	"a flashing yellow light, only"	forward and after masthead lights	
1	4347	D	"BOTH INTERNATIONAL & INLAND To determine if risk of collision exists, a vessel which is fitted with radar must use __________."	radar scanning	radar plotting	compass bearings	All of the above	
1	4348	A	"BOTH INTERNATIONAL & INLAND You are on vessel ""A"" pushing a barge ahead and meeting vessel ""B"" as shown.  How should the vessels pass?"	Both vessels must alter course to starboard and pass port to port.	Both vessels must alter course to port and pass starboard to starboard.	"Vessel ""A"" should maintain course and vessel ""B"" alter course."	The vessels should determine which will alter course by sounding whistle signals.	DIAGRAM_12
1	4349	B	"BOTH INTERNATIONAL & INLAND If a vessel is engaged in fishing according to the definitions in the Rules, it will  have __________."	gear extending from the side or stern	gear that restricts maneuverability	less than 50 percent trolling lines	None of the above	
1	4350	C	BOTH INTERNATIONAL & INLAND While underway in fog you hear  the rapid ringing of a bell.  What does this signal indicate?	A vessel backing down	A sailboat underway	A vessel at anchor	A vessel drifting	
1	4351	B	"BOTH INTERNATIONAL & INLAND Two power-driven vessels are crossing so as to involve risk of collision. Which statement is TRUE, according to the Rules?"	The vessel which has the other on her own port side shall keep out of the way.	"If the stand-on vessel takes action, she shall avoid changing course to port."	"If the give-way vessel takes action, she shall avoid changing course to starboard."	The give-way vessel should keep the other vessel to her starboard.	
1	4352	C	"BOTH INTERNATIONAL & INLAND What is the minimum vessel length which must show two white masthead lights, one forward and one aft, when underway at night?"	7 meters	20 meters	50 meters	100 meters	
1	4353	A	BOTH INTERNATIONAL & INLAND Every vessel that is to keep out of the way of another vessel must take positive early action to comply with this obligation and must __________.	avoid crossing ahead of the other vessel	avoid passing astern of the other vessel	sound one prolonged blast to indicate compliance	alter course to port for a vessel on her port side	
1	4354	A	"BOTH INTERNATIONAL & INLAND At night, a power-driven vessel less than 12 meters in length may, instead of the normal navigation lights, show sidelights and one __________."	white light	yellow light	flashing white light	flashing yellow light	
1	4355	B	BOTH INTERNATIONAL & INLAND You are crossing a narrow channel in an 18-meter tug when you sight a loaded tankship off your port bow coming up the channel.  Which statement is correct?	Neither vessel is the stand-on vessel because the tankship is crossing.	You cannot impede the safe passage of the tankship.	The tankship is the stand-on vessel because it is in the channel.	The tankship is the stand-on vessel because it is the larger  of the two vessels.	
1	4356	C	BOTH INTERNATIONAL & INLAND A vessel engaged in fishing underway sounds the same fog signal as a __________.	power-driven vessel stopped and making no way through the water	vessel being towed	vessel restricted in her ability to maneuver at anchor	sailing vessel at anchor	
1	4357	C	BOTH INTERNATIONAL & INLAND A vessel 15 meters in length which is proceeding under sail as well as being propelled by machinery shall exhibit during the daytime __________.	one black ball	a basket	a cone with its apex downward	two cones with their apexes together	
1	4358	D	BOTH INTERNATIONAL & INLAND Which vessel should not impede the navigation of a power-driven vessel?	A vessel not under command	A vessel engaged in fishing	A sailing vessel	A seaplane	
1	4359	C	BOTH INTERNATIONAL & INLAND Your vessel is underway but stopped and making no way through the water when fog sets in.  Which fog signal should you sound?	One prolonged blast on the whistle	One prolonged blast and two short blasts on the whistle	Two prolonged blasts on the whistle	"One short, one prolonged, and one short blast on the whistle"	
1	4360	C	"BOTH INTERNATIONAL & INLAND While underway, you see a vessel displaying the day-shapes shown. Which action  should you take?"	Maintain course and speed	"Provide assistance, the other vessel is in distress"	"Stay clear, the other vessel is maneuvering with difficulty"	Stop your vessel and sound passing signals	DIAGRAM_6
1	4362	B	BOTH INTERNATIONAL & INLAND A vessel underway and fishing shall keep out of the way of a __________.	power-driven vessel underway	vessel not under command	vessel sailing	vessel engaged on pilotage duty	
1	4363	C	BOTH INTERNATIONAL & INLAND A vessel displaying the day shape shown is __________.	broken down	anchored	towing	fishing	DIAGRAM_10
1	4364	C	BOTH INTERNATIONAL & INLAND The whistle signal for a vessel operating astern propulsion is __________.	one long blast	one prolonged blast	three short blasts	four or more short blasts
1	4365	A	BOTH INTERNATIONAL & INLAND An anchored vessel is servicing an aid to navigation and is restricted in her ability to maneuver.  Which lights will she show?	"Three lights in a vertical line, the highest and lowest red and the middle white, and anchor lights"	"Three lights in a vertical line, the highest and lowest red and the middle white,  ONLY"	Anchor lights ONLY	Anchor lights and sidelights ONLY
1	4366	A	"BOTH INTERNATIONAL & INLAND Which vessel is a ""vessel restricted in her ability to maneuver"" under the Rules?"	A vessel mineclearing	A vessel engaged in fishing	A vessel at anchor	A vessel not under command
1	4367	C	BOTH INTERNATIONAL & INLAND What would NOT be a distress signal?	"""MAYDAY"" sent by radiotelephone"	Continuous sounding of fog horn	Green star shells fired from a launcher	Square flag and ball in a vertical line
1	4368	B	BOTH INTERNATIONAL & INLAND In a dense fog you hear a whistle signal ahead of one prolonged blast followed by three short blasts.  This signal indicates a __________.	fishing vessel underway trawling	manned vessel being towed	pilot vessel underway making a special signal	vessel not under command
1	4371	D	BOTH INTERNATIONAL & INLAND A head-on situation at night is one in which you see __________.	one sidelight of a vessel ahead of you	one sidelight and a masthead light of a vessel ahead of you	"one sidelight, a masthead light, and a range light of a vessel ahead of you"	both sidelights of a vessel dead ahead of you
1	4372	D	"BOTH INTERNATIONAL & INLAND  You are the stand-on vessel in a crossing situation.  If you think the give-way vessel is  NOT taking sufficient action to avoid collision, you should sound __________."	one short blast and maintain course	"two short blasts, alter to port, and pass astern"	no signal and maneuver at will	the danger signal
1	4373	A	BOTH INTERNATIONAL & INLAND A lantern combining the two sidelights and stern light may be shown on a __________.	10-meter sailing vessel	20-meter vessel engaged in fishing and making way	25-meter power-driven vessel engaged in trolling	25-meter pilot vessel
1	4374	D	BOTH INTERNATIONAL & INLAND  A vessel aground would show the same day-shape as a __________.	vessel towing a submerged object	dredge underway and dredging	hydrographic survey vessel at anchor and surveying	None of the above
1	4375	B	"BOTH INTERNATIONAL & INLAND You are underway in fog when you hear a signal of three strokes of a bell, a rapid ringing of the bell, and three more strokes of the bell.  This signal  indicates a vessel __________."	"at anchor, giving warning"	aground	"at anchor, greater than 100 meters"	not under command at anchor
1	4376	A	"BOTH INTERNATIONAL & INLAND A power-driven vessel ""not under command"" at night must show her sidelights when __________."	making headway	making no headway	moored to a buoy	at anchor
1	4377	B	"BOTH INTERNATIONAL & INLAND The term ""prolonged blast"" means a blast of __________."	two to four seconds duration	four to six seconds duration	six to eight seconds duration	eight to ten seconds duration
1	4378	A	"BOTH INTERNATIONAL & INLAND While you are underway, navigation lights must be displayed on your vessel __________."	during all periods of restricted visibility	at all times	at night only when other vessels may be in the area	at night only when vessels are detected on radar
1	4379	D	BOTH INTERNATIONAL & INLAND Which statement is TRUE concerning risk of collision?	The stand-on vessel must keep out of the way of the other vessel when risk of collision exists.	Risk of collision always exists when two vessels pass within one mile of each other.	Risk of collision always exists when the compass bearing of an approaching vessel changes appreciably.	Risk of collision may exist when the compass bearing of an  approaching vessel is changing appreciably.
1	4380	D	BOTH INTERNATIONAL & INLAND A vessel nearing a bend where other vessels may be obscured shall sound __________.	one short blast	one long blast	two short blasts	one prolonged blast
1	4381	B	"BOTH INTERNATIONAL & INLAND A vessel that is defined as ""restricted in her ability to maneuver"" is unable to keep out of the way of another vessel due to __________."	her draft	the nature of her work	some exceptional circumstances	a danger of navigation
1	4382	A	"BOTH INTERNATIONAL & INLAND While underway in fog, you hear a vessel sound four short blasts in succession.  What does  this signal indicate?"	A pilot vessel	A vessel being towed	A vessel fishing	A sailboat	
1	4383	C	BOTH INTERNATIONAL & INLAND You are in charge of a stand-on vessel in a crossing situation.  The other vessel is 1.5 miles to port.  You believe that risk of collision exists.  You should __________.	take avoiding action immediately upon determining that risk of collision exists	immediately sound the danger signal	"take avoiding action only after providing the give-way vessel time to take action, and determining that her action is not appropriate"	"hold course and speed until the point of extremis, and then sound the danger signal, taking whatever action will best avert collision"	
1	4384	D	"BOTH INTERNATIONAL & INLAND In DIAGRAM_8, vessel ""A"" and vessel ""B"" (which is pushing ahead) are meeting head-on as shown.  How must the vessels pass?"	"Vessel ""A"" must alter course while vessel ""B"" continues on  its present course."	The vessels should determine which will alter course by exchanging whistle signals.	Both vessels should alter course to port and pass starboard to starboard.	Both vessels should alter course to starboard and pass port to port.	DIAGRAM_8
1	4385	A	"BOTH INTERNATIONAL & INLAND To be considered ""engaged in fishing"" according to the Rules of the Road, a vessel must  be __________."	using fishing apparatus which restricts maneuverability	using trolling lines	power-driven	showing lights or shapes for a vessel restricted in her ability to maneuver	
1	4386	A	BOTH INTERNATIONAL & INLAND While underway in fog you hear a rapid ringing of a bell ahead.  This bell indicates a __________.	vessel at anchor	vessel in distress	sailboat underway	vessel backing out of a berth	
1	4387	C	BOTH INTERNATIONAL & INLAND An overtaking situation would be one in which one vessel is approaching another from more than how many degrees abaft the beam?	0°	10°	22.5°	None of the above	
1	4388	D	BOTH INTERNATIONAL & INLAND A stand-on vessel is __________.	required to give way in a crossing situation	required to sound the first passing signal in a meeting situation	free to maneuver in any crossing or meeting situation as it has the right-of-way	required to maintain course and speed in a crossing situation but may take action to avoid collision	
1	4389	D	BOTH INTERNATIONAL & INLAND An overtaking situation at night would be one in which one vessel sees which light(s) of a vessel ahead?	Masthead lights and sidelights	"One sidelight, the masthead lights and stern light"	Both sidelights	Stern light	
1	4390	D	BOTH INTERNATIONAL & INLAND What lights must sailboats show when underway at night?	One all-round white light	A stern light	Red and green sidelights	Red and green sidelights and a stern light	
1	4391	B	BOTH INTERNATIONAL & INLAND You are crossing a narrow channel in a small motorboat.  You sight a tankship off your port bow coming up the channel.  Which statement is TRUE?	You are the stand-on vessel because the tankship is to port.	You cannot impede the safe passage of the tankship.	The tankship is the stand-on vessel because it is to port of  your vessel.	The tankship is the stand-on vessel because it is the larger  of the two vessels.	
1	4392	B	BOTH INTERNATIONAL & INLAND Which vessel does NOT sound a fog signal of one prolonged followed by two short blasts?	A vessel dredging	A vessel being towed	A vessel engaged in fishing	A sailing vessel	
1	4393	C	BOTH INTERNATIONAL & INLAND Which light(s) is(are) AMONG those shown by a 200-meter vessel at anchor?	"In the forepart of the vessel, a 225° white light"	"In the after part of the vessel, a 135° white light"	Any available working lights to illuminate the decks	"In the fore part of the vessel, a 135° white light"	
1	4394	D	"BOTH INTERNATIONAL & INLAND A partly submerged vessel or object being towed, which is not readily noticeable, shall  show __________."	yellow lights at each end	two red lights in a vertical line	a black ball	a diamond shape	
1	4395	C	BOTH INTERNATIONAL & INLAND The lights displayed indicate a __________.	fishing vessel trolling	vessel laying submarine cable	vessel towing astern	vessel dredging	DIAGRAM_73
1	4396	A	"BOTH INTERNATIONAL & INLAND Concerning the identification  signal for a pilot vessel, in fog, which statement is TRUE?"	"When at anchor, the pilot vessel is only required to sound anchor signals."	The identification signal must be sounded any time the pilot vessel is underway.	The pilot vessel may only sound the identity signal when making way.	All of the above	
1	4397	C	"BOTH INTERNATIONAL & INLAND In a crossing situation, a vessel fishing must keep out of the way of a vessel which is __________."	under sail	towing	restricted in her ability to maneuver	engaged in pilotage duty	
1	4398	C	BOTH INTERNATIONAL & INLAND A tugboat displaying the day-shape shown __________.	is at anchor	is not under command	has a tow that exceeds 200 meters in length	has a tow that is carrying dangerous cargo	DIAGRAM_10
1	4399	B	"BOTH INTERNATIONAL & INLAND Which vessel would display a cone, apex downward?"	A fishing vessel with outlying gear	A vessel proceeding under sail and machinery	A vessel engaged in diving operations	A vessel being towed	
1	4400	C	"BOTH INTERNATIONAL & INLAND When action to avoid a close quarters situation is taken, a course change alone may be the most effective action provided that __________."	it is done in a succession of small course changes	it is NOT done too early	it is a large course change	the course change is to starboard	
1	4401	D	BOTH INTERNATIONAL & INLAND You are underway in heavy fog.  You hear the fog signal of a vessel which is somewhere ahead of your vessel.  You must __________.	slow to moderate speed and navigate with caution	maintain speed and sound the danger signal	stop engines and navigate with caution	slow to bare steerageway and navigate with caution	
1	4402	A	BOTH INTERNATIONAL & INLAND A vessel at anchor will show a __________.	ball	cone	cylinder	"double cone, apexes together"	
1	4403	C	BOTH INTERNATIONAL & INLAND What day-shape must be shown by a vessel over 20 meters fishing which has gear extending more than 150 meters horizontally outward from it?	One black ball	One diamond shape	One cone with its apex upwards	One basket	
1	4404	D	"BOTH INTERNATIONAL & INLAND A vessel towing astern  in an operation which severely restricts the towing vessel  and her tow in their ability to change course shall, when making way, exhibit __________."	the masthead lights for a towing vessel	the lights for a vessel restricted in its ability to maneuver	"sidelights, stern light and towing light"	All of the above	
1	4405	B	BOTH INTERNATIONAL & INLAND A vessel underway but not making way and fishing other than trawling will show which lights?	A white light over a red light	A red light over a white light	"A white light over a red light, sidelights, and a stern light"	"A red light over a white light, sidelights, and a stern light"	
1	4406	C	"BOTH INTERNATIONAL & INLAND Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds three short blasts on the whistle.  This signal means that vessel ""A"" __________."	intends to hold course and speed	is sounding the danger signal	is backing engines	proposes to cross ahead of the other vessel	DIAGRAM_42
1	4407	C	BOTH INTERNATIONAL & INLAND A 200-meter vessel is aground in restricted visibility.  Which signal is optional?	A bell signal	A gong signal	A whistle signal	All of the above	
1	4408	D	BOTH INTERNATIONAL & INLAND A fishing vessel displaying the lights shown is __________.	anchored	underway but not fishing	tending a small fishing boat	fishing by trawling	DIAGRAM_67
1	4409	C	BOTH INTERNATIONAL & INLAND A vessel or object being towed astern shall display a(n) __________.	forward masthead light	after masthead light	stern light	All of the above	
1	4410	D	BOTH INTERNATIONAL & INLAND The rules state that vessels may depart from the requirements of the Rules when __________.	there are no other vessels around	operating in a narrow channel	the Master enters it in the ship's log	necessary to avoid immediate danger	
1	4411	A	"BOTH INTERNATIONAL & INLAND For the purpose of the Rules, except where otherwise required, the term __________."	"""vessel"" includes seaplanes"	"""seaplane"" includes nondisplacement craft"	"""vessel engaged in fishing"" includes a vessel fishing with  trolling lines"	"""vessel restricted in her ability to maneuver"" includes fishing vessels"	
1	4412	D	BOTH INTERNATIONAL & INLAND A vessel displaying the lights shown is __________.	towing	conducting underwater survey operations	drifting	aground	DIAGRAM_44
1	4413	B	BOTH INTERNATIONAL & INLAND Which statement is TRUE concerning a 75-meter power-driven vessel underway at night?	She must exhibit an all-round white light at the stern.	She must exhibit forward and after masthead lights.	She must exhibit only a forward masthead light.	She may exhibit a red light over a green light forward.	
1	4414	A	"BOTH INTERNATIONAL & INLAND Every vessel which is directed  by these Rules to keep out of the way of another vessel shall, if the circumstances of the case admit, avoid __________."	crossing ahead of the other	crossing astern of the other	passing port to port	passing starboard to starboard
1	4415	C	BOTH INTERNATIONAL & INLAND Which signal may be used by a vessel that is in doubt as to whether sufficient action is being taken by another vessel to avoid collision?	A continuous sounding of the fog horn	Firing a gun every minute	Five or more short rapid blasts on the whistle	One prolonged blast on the whistle
1	4416	D	BOTH INTERNATIONAL & INLAND Navigation lights must be displayed in all weathers from sunset to sunrise. They also __________.	must be displayed when day signals are being used	must be displayed when moored to a pier	may be extinguished at night on open waters when no other vessels are in the area	may be displayed during daylight
1	4417	D	BOTH INTERNATIONAL & INLAND What describes a head-on situation?	Seeing a vessel displaying both sidelights ONLY dead ahead	Seeing two forward white towing identification lights in a  vertical line on a towing vessel directly ahead	Seeing both sidelights of a vessel directly off your starboard beam	Seeing both sidelights  and masthead light(s) of a vessel dead ahead
1	4418	B	"BOTH INTERNATIONAL & INLAND When two vessels are in immediate danger of collision, the stand-on vessel must __________."	abandon ship	assist in taking whatever action is necessary to avoid collision	hold course and speed	sound a distress signal
1	4419	C	BOTH INTERNATIONAL & INLAND A vessel 25 meters in length must have which sound signaling appliance onboard?	None is required	Whistle only	Whistle and bell only	"Whistle, bell, and gong"
1	4420	D	BOTH INTERNATIONAL & INLAND A vessel transferring provisions or cargo at sea shall display during the day __________.	two black balls in a vertical line	three black balls in a vertical line	three shapes in a vertical line; the highest and lowest shall be red balls and the middle a white diamond	three black shapes in a vertical line; the highest and lowest shall be balls and the middle one a diamond
1	4421	A	BOTH INTERNATIONAL & INLAND You see a red sidelight bearing NW (315°).  That vessel may be heading __________.	south (180°)	east (090°)	northeast (045°)	west (270°)
1	4422	C	"BOTH INTERNATIONAL & INLAND Each prolonged blast on whistle signals used by a power-driven vessel in fog, whether making way or underway but not making way, is __________."	about one second	two to four seconds	four to six seconds	eight to ten seconds
1	4423	A	"BOTH INTERNATIONAL & INLAND Which statement is TRUE concerning a ""vessel engaged in fishing""?"	"The vessel may be using nets, lines, or trawls."	The vessel may be trolling.	"The vessel shows 2 lights in a vertical line, white over red."	"The vessel sounds the same fog signal as a vessel underway, making no way."
1	4424	B	BOTH INTERNATIONAL & INLAND The Rules state that risk of collision shall be deemed to exist __________.	whenever two vessels approach from opposite directions	if the bearing of an approaching vessel does not appreciably change	whenever a vessel crosses ahead of the intended track of another vessel	if one vessel approaches another so as to be overtaking
1	4425	D	BOTH INTERNATIONAL & INLAND A power-driven vessel exhibits  the same lights as a __________.	"vessel towing, when not underway"	vessel towing astern	sailing vessel	"pushing vessel and a vessel being pushed, when they are in a composite unit"
1	4426	D	BOTH INTERNATIONAL & INLAND A power-driven vessel is underway in fog but stopped and making no way through the water.  What is the required fog signal?	One prolonged blast at not more than one-minute intervals	Two prolonged blasts at not more than one-minute intervals	One prolonged blast at not more than two-minute intervals	Two prolonged blasts at not more than two-minute intervals
1	4427	C	"BOTH INTERNATIONAL & INLAND A towing light, according to the Rules, is a __________."	white light	red light	yellow light	blue light
1	4428	B	BOTH INTERNATIONAL & INLAND Which signal shall a power-driven vessel sound when making way in fog?	One short blast every two minutes	One prolonged blast every two minutes	One prolonged and two short blasts every two minutes	Three short blasts every two minutes
1	4429	D	BOTH INTERNATIONAL & INLAND Two vessels are meeting head-on.  How must the vessels pass?	One vessel must alter course while the other must continue  on its course.	The vessels should determine which will alter course by sounding whistle signals.	Both vessels should alter course to port and pass starboard to starboard.	Both vessels should alter course to starboard and pass port to port.
1	4430	C	BOTH INTERNATIONAL & INLAND Which vessel does NOT sound a fog signal of one prolonged followed by two short blasts?	A vessel engaged in dredging	A sailing vessel	A vessel being towed	A vessel engaged in fishing	
1	4431	A	BOTH INTERNATIONAL & INLAND A vessel 50 meters in length at anchor must sound which fog signal?	5-second ringing of a bell every minute	5-second ringing of a bell every two minutes	5-second sounding of a gong every minute	5-second sounding of both a bell and gong every two minutes	
1	4432	B	BOTH INTERNATIONAL & INLAND A vessel displaying ONLY the lights shown is __________.	fishing	a pilot vessel at anchor	a fishing vessel aground	fishing and hauling her nets	DIAGRAM_61
1	4433	B	"BOTH INTERNATIONAL & INLAND Which vessel is NOT to be regarded as ""restricted in her ability to maneuver""?"	A vessel transferring provisions while underway	A pushing vessel and a vessel being pushed when connected in a composite unit	A vessel servicing a navigation mark	A vessel launching aircraft	
1	4434	C	BOTH INTERNATIONAL & INLAND Which statement correctly applies to a situation where a sailing vessel is overtaking a power-driven vessel?	The power-driven vessel must keep out of the way of the sailing vessel.	"A ""special circumstance"" situation exists."	The sailing vessel must keep out of the way of the power- driven vessel.	The vessel which has the other vessel to the right must keep out of the way.	
1	4435	D	BOTH INTERNATIONAL & INLAND Which procedure(s) shall be used to determine risk of collision?	Watching the compass bearing of an approaching vessel	Systematic observation of objects detected by radar	Long-range radar scanning	All of the above	
1	4436	C	BOTH INTERNATIONAL & INLAND A white masthead light shows through an arc of how many degrees?	90°	112.5°	225°	360°	
1	4437	A	BOTH INTERNATIONAL & INLAND What is the minimum length of an anchored vessel which is required to show a white light both forward and aft?	50 meters	100 meters	150 meters	200 meters	
1	4438	B	"BOTH INTERNATIONAL & INLAND You are at anchor in fog. The fog signal of a vessel underway has been steadily growing louder and the danger of collision appears to exist.  In addition to your fog signal, what signal may be used to indicate the presence of your vessel?"	"Three blasts on the whistle; one prolonged, one short, and one prolonged."	"Three blasts on the whistle; one short, one prolonged, and one short."	Three blasts on the whistle; one prolonged followed by two short.	No signal other than your fog signal may be used.	
1	4439	C	BOTH INTERNATIONAL & INLAND Signals required for vessels aground include __________.	"by night, the anchor lights for a vessel of her length, and three red lights in a vertical line"	"a short, a prolonged, and a short blast"	"by day, three black balls in a vertical line"	All of the above	
1	4440	D	"BOTH INTERNATIONAL & INLAND Which craft would be considered a ""power-driven vessel"" under the Rules of the Road?"	"An auxiliary sail vessel, using her engine"	A canoe being propelled by a small outboard motor	A tug powered by a diesel engine	All of the above	
1	4441	B	"BOTH INTERNATIONAL & INLAND At night, power-driven vessels less than 12 meters in length may, instead of the underway  lights for vessels under 50 meters, show which lights?"	Sidelights and stern light	One all-round white light and sidelights	Masthead light only	Stern light only	
1	4442	A	BOTH INTERNATIONAL & INLAND Which vessel shall not impede the passage of a vessel which can only navigate inside a narrow channel?	A vessel of less than 20 meters in length	A vessel not under command	A vessel engaged in surveying	All of the above	
1	4443	C	BOTH INTERNATIONAL & INLAND Which statement is TRUE in an overtaking situation?	An overtaking situation exists when one vessel is approaching another vessel from anywhere abaft the beam.	It is the duty of the vessel being overtaken to get out of  the way.	Any later change of bearing between the two vessels shall not make the overtaking vessel a crossing vessel.	All of the above	
1	4444	B	"BOTH INTERNATIONAL & INLAND Which vessel must exhibit a conical shape, apex downwards?"	A 10-meter vessel engaged in fishing	A 15-meter vessel proceeding under sail when also being propelled by machinery	A 20-meter vessel restricted in her ability to maneuver	All of the above	
